code,lat,lon,name,city,state,country,tz,type,runway_length,elev,NTGA
ESU,31.5147,-9.76532,Morocco,Essaouira,Essaouira,Morocco,Africa/Casablanca,Airports,,,LLET
ETH,29.5541,34.9554,J Hozman Airport,Elat,HaDarom,Israel,Asia/Jerusalem,Airports,6234,43,
ETZ,48.9788,6.24722,Lorraine Airport,Verny,Lorraine,France,Europe/Paris,Airports,8200,,
EUA,45.9034,-116.982,Eua Island,Eua,Tongatapu,Tonga,Pacific/Tongatapu,Airports,2400,325,KEUG
EUG,44.1184,-123.213,Mahlon Sweet Field Airport,Eugene,Oregon,United States,America/Los_Angeles,Airports,6202,365,
EUM,54.1667,9.98333,Wasbek Airport,Bordesholm,Schleswig-Holstein,Germany,Europe/Berlin,Airports,1968,72,
EUN,27.15,-13.2,Hassan I,Laayoune,Sakia El Hamra,Morocco,Africa/El_Aaiun,Airports,8858,207,
EUX,17.5031,-62.9736,St. Eustatius Airport,Oranjestad,St Eustatius,Netherlands Antilles,America/Curacao,Airports,4200,124,ENEV
EVE,68.489,16.6806,Evenes Airport,Tarnstad,Nordland Fylke,Norway,Europe/Oslo,Airports,8720,85,
EVG,62.0466,14.4187,Sveg Airport,Sveg,Jamtland,Sweden,Europe/Stockholm,Airports,3281,1176,UDYZ
EVN,40.1573,44.4065,Yerevan-Parakar Airport,Yerevan,Armavir,Armenia,Asia/Yerevan,Airports,,2976,KEVV
EVV,38.0464,-87.5308,Evansville Regional Airport,Evansville,Indiana,United States,America/Chicago,Airports,8021,418,KEWB
EWB,41.6735,-70.9579,New Bedford Municipal Airport,New Bedford,Massachusetts,United States,America/New_York,Airports,4997,80,
EWD,61.1021,-149.924,Wildman Lake,Wildman Lake,Alaska,United States,America/Anchorage,Airports,,,KEWN
EWN,35.0786,-77.0343,Craven County Regional Airport,New Bern,North Carolina,United States,America/New_York,Airports,4804,19,KEWR
EWR,40.6924,-74.1843,Newark International Airport,Newark,New Jersey,United States,America/New_York,Airports,11000,18,EGTE
EXT,50.7303,-3.4166,Exeter Airport,Exeter,England,United Kingdom,Europe/London,Airports,6834,102,
EYP,5.35,-72.3833,El Yopal Airport,Yopal,Casanare,Colombia,America/Bogota,Airports,5085,1100,KEYW
EYW,24.5536,-81.7551,Key West International Airport,Key West,Florida,United States,America/New_York,Airports,4800,4,SAEZ
EZE,-34.82,-58.5333,Ministro Pistarini International Airport,Ezeiza,Buenos Aires,Argentina,America/Buenos_Aires,Airports,10827,66,
EZS,38.6083,39.2917,Elazig Airport,Elazığ,Elazığ,Turkey,Europe/Istanbul,Airports,5610,2961,
FAB,51.2783,-0.7703,Farnborough Airport,Farnborough,England,United Kingdom,Europe/London,Airports,2440,238,EKVG
FAE,62.0625,-7.2708,Vagar Airport,Faroe Islands,Vága,Faroe Islands,Atlantic/Faroe,Airports,4104,280,PAFA
FAI,64.8183,-147.866,Fairbanks International Airport,Fairbanks,Alaska,United States,America/Anchorage,Airports,10300,434,LPFR
FAO,37.0154,-7.97197,Faro Airport,Faro,Faro,Portugal,Europe/Lisbon,Airports,8169,24,KFAR
FAR,46.9195,-96.8243,Hector International Airport,Fargo,North Dakota,United States,America/Chicago,Airports,9546,900,KFAT
FAT,36.7675,-119.717,Fresno Yosemite International Airport,Fresno,California,United States,America/Los_Angeles,Airports,9222,332,
FAV,-15.9969,-145.509,French Polynesia,Fakarava,Tuamotu-Gambier,French Polynesia,Pacific/Midway,Airports,3281,7,KFAY
FAY,34.9914,-78.8889,Fayetteville Regional Airport,Fayetteville,North Carolina,United States,America/New_York,Airports,7204,190,
FBM,-11.5908,27.5292,Lubumbashi Luano International Airport,Lubumbashi,Democratic Republic of,Congo,Africa/Brazzaville,Airports,10370,4295,KFCA
FCA,48.3075,-114.252,Glacier Park International Airport,Kalispell,Montana,United States,America/Denver,Airports,8000,2972,
FCN,53.7849,8.59625,Nordholz,Cuxhaven,Lower-Saxony,Germany,Europe/Berlin,Airports,,,LIRF
FCO,41.8026,12.2551,Leonardo da Vinci International Airport,Rome,Lazio,Italy,Europe/Rome,Airports,12795,14,ENBL
FDE,61.392,5.7615,Bringeland Airport,Bygstad,Sogn og Fjordane Fylke,Norway,Europe/Oslo,Airports,2215,7,TFFF
FDF,14.5897,-61.0092,Le Lamentin Airport,Ducos,Fort-de-France,Martinique,America/Martinique,Airports,10827,16,EDNY
FDH,47.6747,9.52088,Friedrichshafen Airport,Meckenbeuren,Baden-Wurttemberg,Germany,Europe/Berlin,Airports,7726,1365,
FEG,40.3833,71.7667,Fergana,Fergana,Farghona,Uzbekistan,Asia/Samarkand,Airports,,,
FEN,-3.8519,-32.4244,Fernando de Noronha Airport,Vila dos Remédios,Pernambuco,Brazil,America/Recife,Airports,6050,184,
FEZ,33.9286,-4.9767,Saiss Airport,Fez,Fes,Morocco,Africa/Casablanca,Airports,10499,1900,
FGU,-15.9038,-140.494,French Polynesia,Fangatau,Tuamotu-Gambier,French Polynesia,Pacific/Midway,Airports,2953,10,
FHZ,-8.64687,-131.787,French Polynesia,Fakahina,,French Polynesia,Pacific/Midway,Airports,2952,3,FZAA
FIH,-4.3847,15.445,Kinshasa N Djili International Airport,Kinshasa,Kinshasa,Democratic Republic of Congo,Africa/Kinshasa,Airports,,1027,OMFJ
FJR,25.1106,56.3267,Fujairah Airport,Al Fujayrah,Fujairah,United Arab Emirates,Asia/Dubai,Airports,10500,10,EDSB
FKB,48.781,8.08678,Baden-Airpark,Rheinmünster,Baden-Wurttemberg,Germany,Europe/Berlin,Airports,,,
FKI,0.4808,25.3331,Kisangani Bangoka International Airport,Kisangani,Democratic Republic of,Congo,Africa/Lubumbashi,Airports,7218,1289,KFKL
FKL,41.3766,-79.8573,Chess Lamberton Airport,Franklin,Pennsylvania,United States,America/New_York,Airports,5200,1540,
FKQ,-2.46456,117.996,Indonesia,Fak Fak,,Indonesia,Asia/Jakarta,Airports,3936,5,KFKS
FKS,37.2314,140.429,Fukushima Airport,Sukagawa-shi,Fukushima Prefecture,Japan,Asia/Tokyo,Airports,,,
FLA,1.5847,-75.5644,Gustavo Artunduaga Paredes Airport,Florencia,Caqueta,Colombia,America/Bogota,Airports,4592,803,KFLG
FLG,35.139,-111.675,Flagstaff Pulliam Airport,Flagstaff,Arizona,United States,America/Phoenix,Airports,6999,7011,KFLL
FLL,26.0722,-80.1354,Fort Lauderdale Hollywood International Airport,Dania Beach,Florida,United States,America/New_York,Airports,9001,11,
FLN,-27.6697,-48.5517,Hercilio Luz International Airport,Florianopolis,Santa Catarina,Brazil,America/Sao_Paulo,Airports,7942,20,KFLO
FLO,34.1936,-79.7289,Florence Regional Airport,Florence,South Carolina,United States,America/New_York,Airports,6498,147,LIRQ
FLR,43.8097,11.2003,Florence Airport,Florence,Tuscany,Italy,Europe/Rome,Airports,4593,,
FLW,39.4569,-31.1272,Flores Airport,Flores Island,Azores,Portugal,Atlantic/Azores,Airports,3707,112,
FMA,-26.21,-58.235,Formosa Airport,Formosa,Formosa,Argentina,America/Buenos_Aires,Airports,5905,194,
FMM,20.499,103.75,Memmingen-Allgäu Airport,Memmingen,Bavaria,Germany,Europe/Berlin,Airports,,,KFMN
FMN,36.7387,-108.227,Four Corners Regional Airport,Farmington,New Mexico,United States,America/Denver,Airports,6702,5503,EDDG
FMO,52.1312,7.69163,Munster-Osnabruck International Airport,Greven,North Rhine-Westphalia,Germany,Europe/Berlin,Airports,7119,158,KFMY
FMY,26.5815,-81.862,Page Field Airport,Fort Myers,Florida,United States,America/New_York,Airports,6401,18,GFLL
FNA,8.6181,-13.1994,Freetown Lungi Airport,Freetown,Northern,Sierra Leone,Africa/Freetown,Airports,10500,84,LPMA
FNC,32.6919,-16.7768,Funchal Airport,Madeira,Madeira,Portugal,Europe/Lisbon,Airports,5905,190,LFTW
FNI,43.7618,4.42092,Garons Airport,St-Gilles-du-Gard,Languedoc-Roussillon,France,Europe/Paris,Airports,8005,308,ZKPY
FNJ,39.1437,125.695,Sunan Airport,Sunan,P'yongan-namdo,North Korea,Asia/Pyongyang,Airports,,94,KFNL
FNL,40.4505,-105.008,Fort Collins Loveland Municipal Airport,Loveland,Colorado,United States,America/Denver,Other Airport,4700,4935,KFNT
FNT,42.9756,-83.7411,Bishop International Airport,Flint,Michigan,United States,America/New_York,Airports,7848,782,
FOC,26.0833,119.283,Fuzhou Airport,Fuzhou,Fujian,China,Asia/Shanghai,Airports,,,KFOD
FOD,42.5523,-94.1819,Fort Dodge Regional Airport,Fort Dodge,Iowa,United States,America/Chicago,Airports,6547,1157,
FOG,41.4341,15.5438,Gino Lisa Airport,Foggia,Puglia,Italy,Europe/Rome,Airports,5249,308,SBFZ
FOR,-3.7758,-38.5322,Pinto Martins International Airport,Fortaleza,Ceara,Brazil,America/Belem,Airports,8350,82,MYGF
FPO,26.5561,-78.6986,Freeport International Airport,Freeport City,City of Freeport,Bahamas,America/Nassau,Airports,,,EDDF
FRA,50.0483,8.57041,Frankfurt International Airport,Frankfurt,Hesse,Germany,Europe/Berlin,Airports,13123,364,
FRC,-20.5897,-47.3819,Franca Airport,Franca,Sao Paulo,Brazil,America/Sao_Paulo,Airports,4921,3271,KFHR
FRD,48.5252,-123.027,Friday Harbor Airport,Friday Harbor,Washington,United States,America/Los_Angeles,Airports,3400,120,
FRE,-8.1,159.583,Fera Island,Fera Island,Isabel,Solomon Islands,Pacific/Guadalcanal,Airports,2231,8,LIPK
FRL,44.1953,12.0686,Forli Airport,Forli,Emilia Romagna,Italy,Europe/Rome,Airports,7907,98,ENFL
FRO,61.5863,5.02484,Flora Airport,Floro,Sogn og Fjordane Fylke,Norway,Europe/Oslo,Airports,2690,31,MGTK
FRS,16.9139,-89.8664,Santa Elena Airport,Flores,Peten,Guatemala,America/Guatemala,Airports,10000,420,UAFM
FRU,43.0603,74.4866,Vasilyevka Airport,Bishkek,Chuy,Kyrgyzstan,Asia/Bishkek,Airports,,,
FRW,-21.16,27.4825,Francistown Airport,Francistown,North-East,Botswana,Africa/Gaborone,Airports,7088,3281,LFKF
FSC,41.5022,9.0968,Sud Corse Airport,Figari,Corsica,France,Europe/Paris,Airports,8136,85,KFSD
FSD,43.5813,-96.7317,Sioux Falls Regional Airport,Sioux Falls,South Dakota,United States,America/Chicago,Airports,8999,1429,KFSM
FSM,36.1881,-94.4944,Smith Field Airport,Fort Smith,Arkansas,United States,America/Chicago,Airports,8000,469,LFVP
FSP,46.7708,-56.1667,St Pierre Airport,St Pierre,Miquelon-Langlade,Saint Pierre and Miquelon,America/Miquelon,Airports,4100,23,
FTA,-19.5267,170.215,Futuna,Futuna Island,Tafea,Vanuatu,Pacific/Efate,Airports,,,
FTE,-50.3333,-72.25,El Calafate International Airport,El Calafate,Santa Cruz,Argentina,America/Buenos_Aires,Airports,,,
FTU,-25.0381,46.9556,Tolagnaro Airport,Faradofay,Toliara,Madagascar,Indian/Antananarivo,Airports,4921,26,GCFV
FUE,28.3997,-13.9998,Puerto del Rosario Airport,Antigua,Canary Islands,Spain,Atlantic/Canary,Airports,7874,75,
FUG,37.8882,-82.9323,,Fuyang,Zhejiang,China,Asia/Shanghai,Airports,,,
FUJ,32.6726,128.836,Fukue Airport,Goto-shi,Nagasaki Prefecture,Japan,Asia/Tokyo,Airports,5250,273,RJFF
FUK,33.5971,130.443,Fukuoka Airport,Fukuoka-shi,Fukuoka Prefecture,Japan,Asia/Tokyo,Airports,9250,30,NGFU
FUN,-8.52982,179.189,Funafuti International Airport,Funafuti,Funafuti,Tuvalu,Pacific/Funafuti,Airports,5000,9,
FUT,-14.25,-178.15,Futuna Island,Futuna Island,Hahake,Wallis and Futuna Islands,Pacific/Wallis,Airports,3051,20,KFWA
FWA,40.9883,-85.1899,Fort Wayne Municipal Airport-Baer Field,Fort Wayne,Indiana,United States,America/New_York,Airports,9000,802,
FWM,56.8179,-5.1039,Fort William Heliport,Fort William,Scotland,United Kingdom,Europe/London,Heliport2,,,PFYU
FYU,66.5714,-145.25,Fort Yukon Airport,Fort Yukon,Alaska,United States,America/Anchorage,Airports,5809,433,
FZO,51.5194,-2.5761,Filton Airport,Bristol,England,United Kingdom,Europe/London,Airports,,,
GAE,33.8792,10.1028,Gabes Airport,Gabes,Qabis,Tunisia,Africa/Tunis,Airports,3937,26,KGAF
GAF,34.4222,8.81944,Gafsa,Gafsa,Qafash,Tunisia,Africa/Tunis,Airports,5413,1033,
GAJ,38.4109,140.37,Yamagata Airport,Higashine-shi,Yamagata Prefecture,Japan,Asia/Tokyo,Airports,6560,353,PAGA
GAL,64.7404,-156.931,Galena Airport,Galena,Alaska,United States,America/Anchorage,Airports,7254,152,PAGM
GAM,63.7667,-171.738,Gambell Airport,Gambell,Alaska,United States,America/Anchorage,Airports,4500,28,VRMG
GAN,-0.6912,73.16,Gan Island Airport,Hithadhoo,Seenu,Maldives,Indian/Maldives,Airports,2652,1,KGAO
GAO,20.143,-75.209,Cuba,Guantanamo,Guantanamo,Cuba,America/Havana,Airports,8053,20,VEGT
GAU,26.0857,91.5669,Borjhar,Gawahati,Assam,India,Asia/Kolkata,Airports,9000,161,
GAX,-2.7639,9.98581,Gamba,Gamba,,Gabon,Africa/Libreville,Airports,2461,13,VEGY
GAY,24.7443,84.9493,Gaya Airport,Gaya,Bihar,India,Asia/Kolkata,Airports,7500,377,KGBD
GBD,38.352,-98.853,Great Bend Municipal Airport,Great Bend,Kansas,United States,America/Chicago,Airports,7999,1891,FBSK
GBE,-24.5558,25.9189,Sir Seretse Khama International Airport,Tlokweng,South-East,Botswana,Africa/Gaborone,Airports,9850,3299,
GBJ,15.8714,-61.2647,Marie Galante Airport,Grand-Bourg,Pointe-À-Pitre,Guadeloupe,America/Guadeloupe,Airports,4068,16,
GBT,36.8281,54.4392,Iran,Gorgan,Golestan,Iran,Asia/Tehran,Airports,,,KGCC
GCC,44.3465,-105.533,Gillette Campbell County Airport,Gillette,Wyoming,United States,America/Denver,Airports,7500,4363,EGJB
GCI,49.4341,-2.60003,Guernsey Airport,St. Peter Port,Channel Islands,United Kingdom,Europe/London,Airports,4800,336,KGCK
GCK,37.9267,-100.719,Garden City Regional Airport,Pierceville,Kansas,United States,America/Chicago,Airports,5999,2888,MWCR
GCM,19.2925,-81.3589,Owen Roberts International Airport,Georgetown,Grand Cayman,Cayman Islands,America/Cayman,Airports,7000,8,
GDE,5.93461,43.5318,Ididole,Gode/Iddidole,Bale,Ethiopia,Africa/Addis_Ababa,Airports,7909,968,MMGL
GDL,20.5347,-103.322,Don Miguel Hidalgo International Airport,Tlajomulco de Zúñiga,Jalisco,Mexico,America/Mexico_City,Airports,13120,5012,EPGD
GDN,54.3821,18.454,Rebiechowo Airport,Gdansk,Pomorskie,Poland,Europe/Warsaw,Airports,9186,489,
GDO,7.2111,-70.7583,Vare Maria Airport,Barinas,Apure,Venezuela,America/Caracas,Airports,3969,426,
GDQ,12.5167,37.45,Gondar Airport,Azezo,Debub Gonder,Ethiopia,Africa/Addis_Ababa,Airports,4626,6453,
GDT,21.4439,-71.1425,Grand Turk International Airport,Grand Turk,Gand Turk,Turks And Caicos Islands,America/Grand_Turk,Airports,6335,13,
GDX,59.8984,150.71,Magadan Northwest Airport,Magadan,Magadanskaya Oblast,Russia,Asia/Magadan,Airports,11325,574,
GEA,-22.2667,166.467,Magenta Airport,Noumea,Sud,New Caledonia,Pacific/Noumea,Airports,3609,10,KGEG
GEG,47.625,-117.538,Spokane International Airport,Spokane,Washington,United States,America/Los_Angeles,Airports,9000,2372,
GEL,-28.2808,-54.1683,Santo Angelo Airport,Santo Angelo,Rio Grande do Sul,Brazil,America/Sao_Paulo,Airports,3937,1063,SYCJ
GEO,6.5003,-58.2542,Timehri International Airport,Hyde Park,Demerara-Mahaica,Guyana,America/Guyana,Airports,7,95,
GER,21.8375,-82.78,Nueva Gerona Airport,Nueva Gerona,Isla de la Juventud,Cuba,America/Havana,Airports,8202,72,
GES,6.1094,125.235,General Santos Airport,General Santos City,Soccsksargen,Philippines,Asia/Manila,Airports,10567,505,
GET,-28.7975,114.706,Geraldton Airport,Geraldton,Western Australia,Australia,Australia/Perth,Airports,6500,120,KGEV
GEV,67.1345,20.8126,Lappland Airport,Koskullskulle,Norrbotten,Sweden,Europe/Stockholm,Airports,5610,979,
GFF,-34.2454,146.068,Griffith Airport,Griffith,New South Wales,Australia,Australia/Sydney,Airports,4800,446,KGFK
GFK,47.9494,-97.1762,Grand Forks Mark Andrews International Airport,Grand Forks,North Dakota,United States,America/Chicago,Airports,7349,844,
GFN,-29.7562,153.031,Grafton Airport,Grafton,New South Wales,Australia,Australia/Sydney,Airports,5600,110,KGGG
GGG,32.3874,-94.7194,Gregg County Airport,Longview,Texas,United States,America/Chicago,Airports,10000,365,
GGT,23.5611,-75.8744,Exuma International Airport,George Town,Exuma,Bahamas,America/Nassau,Airports,5000,5,
GHA,32.3828,3.7964,Noumerate Airport,Ghardaia,Ghardaia,Algeria,Africa/Algiers,Airports,10171,1512,
GHB,25.2839,-76.3308,Governors Harbour Airport,Governor Harbour,Central Eleuthera,Bahamas,America/Nassau,Airports,7900,23,
GHT,25.1325,10.1489,Ghat Airport,Ghat,Awbari,Libya,Africa/Tripoli,Airports,5500,2175,
GIB,36.1522,-5.3472,Gibraltar Airport,Gibraltar,,Gibraltar,Europe/Gibraltar,Airports,6004,15,
GIC,-9.2622,142.214,Boigu Island Airport,Kubin Village,Queensland,Australia,Australia/Brisbane,Airports,,,SBGL
GIG,-22.8094,-43.25,Rio de Janeiro-Antonio Carlos Jobim Internationa,Rio de Janeiro,Rio de Janeiro,Brazil,America/Sao_Paulo,Airports,13123,30,
GIL,35.9192,74.3358,Gilgit Airport,Gilgit,Northern Areas,Pakistan,Asia/Karachi,Airports,5400,4770,NZGS
GIS,-38.66,177.978,Gisborne Airport,Gisborne,Gisborne,New Zealand,Pacific/Auckland,Airports,4300,15,
GIZ,16.9069,42.5819,Gizan Airport,Jizan,Jizan,Saudi Arabia,Asia/Riyadh,Airports,10007,20,
GJA,16.4591,-85.9034,Guanaja Airport,Guanaja,Islas de la Bahía,Honduras,America/Tegucigalpa,Airports,3600,36,
GJL,36.7942,5.8769,Taher Airport,Jijel,Jijel,Algeria,Africa/Algiers,Airports,4593,33,KGJT
GJT,39.1217,-108.529,Walker Field Airport,Grand Junction,Colorado,United States,America/Denver,Airports,10501,4858,
GKA,-6.0828,145.396,Goroka Airport,Goroka,Eastern Highlands,Papua New Guinea,Pacific/Port_Moresby,Airports,5400,5208,EGPF
GLA,55.8646,-4.43234,Glasgow International Airport,Paisley,Scotland,United Kingdom,Europe/London,Airports,7625,26,
GLF,8.6525,-83.1828,Golfito Airport,Palmar Sur,Puntarenas,Costa Rica,America/Costa_Rica,Airports,4593,49,KGLH
GLH,33.4819,-90.9903,Mid Delta Regional Airport,Greenville,Mississippi,United States,America/Chicago,Airports,7019,131,
GLK,6.7786,47.4528,Galcaio Airport,Gaalkacyo,Mudug,Somalia,Africa/Mogadishu,Airports,9660,975,
GLN,28.9839,-10.0603,Guelmim,Goulimime,Guelmim,Morocco,Africa/Casablanca,Airports,9840,984,EGBJ
GLO,51.8925,-2.1633,Gloucestershire Airport,Cheltenham,England,United Kingdom,Europe/London,Other Airport,4052,95,
GLT,-23.87,151.226,Gladstone Airport,Gladstone,Queensland,Australia,Australia/Brisbane,Airports,5360,64,
GLV,64.5433,-163.033,Golovin,Golovin,Alaska,United States,America/Anchorage,Airports,2200,25,
GMA,3.2347,19.7719,Gemena Airport,Gemena,Democratic Republic of,Congo,Africa/Kinshasa,Airports,6562,1378,
GMB,13.4454,-15.3114,,Gambela,Ilubabor,Ethiopia,Africa/Addis_Ababa,Airports,4300,1768,RKSS
GMP,37.5563,126.793,Gimpo International Airport,Seoul,Seoul,South Korea,Asia/Seoul,Airports,,,
GMR,-23.0831,-134.887,Gambier Is,Gambier Is,Windward Islands,French Polynesia,Pacific/Tahiti,Airports,6560,7,
GMZ,28.0252,-17.2148,La Gomera Airport,Alajeró,Canary Islands,Spain,Atlantic/Canary,Airports,,,KGNB
GNB,45.3614,5.33214,St Geoirs Airport,Sillans,Rhone-Alpes,France,Europe/Paris,Airports,10007,1302,TGPY
GND,12.0056,-61.7867,Point Salines International Airport,Grenada,Saint George,Grenada,America/Grenada,Airports,5500,30,
GNU,59.1218,-161.588,Alaska,Goodnews Bay,Alaska,United States,America/Nome,Airports,2500,15,KGNV
GNV,29.6861,-82.277,Gainesville Regional Airport,Gainesville,Florida,United States,America/New_York,Airports,7503,152,LIMJ
GOA,44.4119,8.84633,Genoa Cristoforo Colombo Airport,Genoa,Liguria,Italy,Europe/Rome,Airports,9925,10,BGGH
GOH,64.1922,-51.6825,Godthaab Airport,Nuuk,Vestgronland,Greenland,America/Godthab,Airports,3100,283,
GOI,15.3818,73.8265,Dabolim Airport,Vasco Da Gama,Goa,India,Asia/Kolkata,Airports,7850,157,
GOJ,56.2153,43.783,Strigino Airport,Dzerzinsk,Nizhegorodskaya Oblast,Russia,Europe/Moscow,Airports,,,
GOM,-1.6661,29.2344,Goma International Airport,Goma,Democratic Republic of,Congo,Africa/Lubumbashi,Airports,9843,5089,KGOP
GOP,22.5552,88.3685,Gorakhpur,Gorakhpur,Bihar,India,Asia/Kolkata,Airports,9000,259,
GOQ,36.8135,95.3498,Golmud Airport,Golmud,Qinghai,China,Asia/Urumqi,Airports,,,ESGG
GOT,57.6693,12.2957,Gothenburg Airport,Härryda,Vastra Gotaland,Sweden,Europe/Stockholm,Airports,10827,506,
GOU,9.3361,13.3756,Garoua Airport,Garoua,Nord,Cameroon,Africa/Douala,Airports,11155,794,KGOV
GOV,-12.2747,136.826,Gove Aerodrome,Gove,Northern Territory,Australia,Australia/Darwin,Airports,6750,172,LGRX
GPA,38.1519,21.4272,Araxos Airport,Lakkopetra,Dytiki Ellada,Greece,Europe/Athens,Airports,,,KGPI
GPI,2.5806,-77.9083,Guapi Airport,Guapí,Cauca,Colombia,America/Bogota,Airports,4330,164,
GPS,-0.45,-90.2625,Seymour Airport,Puerto Ayora,Galapagos,Ecuador,Pacific/Galapagos,Other Airport,7874,52,KGPT
GPT,30.4133,-89.072,Gulfport Biloxi Regional Airport,Gulfport,Mississippi,United States,America/Chicago,Airports,9002,28,KGRB
GRB,44.4923,-88.1274,Austin Straubel International Airport,Green Bay,Wisconsin,United States,America/Chicago,Airports,7699,695,FAGG
GRJ,-34.005,22.3792,P W Botha Airport,George,Western Cape,South Africa,Africa/Johannesburg,Airports,6562,649,KGRK
GRK,31.0615,-97.8206,Killeen-Fort Hood Regional Airport,Killeen,Texas,United States,America/Chicago,Military Airport,,,LEGE
GRO,41.8992,2.7646,Gerona Airport,Vilobí d'Onyar,Catalonia,Spain,Europe/Madrid,Airports,7874,469,EHGG
GRQ,53.1273,6.58249,Groningen Eelde,Eelde,Drenthe,Netherlands,Europe/Amsterdam,Airports,5906,17,KGRR
GRR,42.8841,-85.5307,Gerald R. Ford International Airport,Grand Rapids,Michigan,United States,America/New_York,Airports,10000,794,SBGR
GRU,-23.435,-46.4728,Governador Andre Franco Montoro International Ai,Guarulhos,Sao Paulo,Brazil,America/Sao_Paulo,Airports,12140,2459,
GRV,43.3964,45.6868,Groznyy Airport,Groznyy,Chechnya,Russia,Europe/Volgograd,Airports,,,
GRW,39.0936,-28.0297,Graciosa Airport,Graciosa Island,Azores,Portugal,Atlantic/Azores,Airports,3937,86,
GRX,37.1876,-3.77498,Granada Airport,Chauchina,Andalucia,Spain,Europe/Madrid,Airports,9514,1860,
GRY,66.5439,-18.0117,Grimsey Airport,Akureyri,Akureyri,Iceland,Atlantic/Reykjavik,Airports,2559,66,LOWG
GRZ,46.9902,15.4389,Graz Airport,Feldkirchen,Styria,Austria,Europe/Vienna,Airports,9055,1115,ESGP
GSE,57.7774,11.8648,Save Airport,Kyrkobyn,Vastra Gotaland,Sweden,Europe/Stockholm,Airports,6316,66,
GSM,36.0347,14.3106,,Gheshm,,Iran,Asia/Tehran,Airports,,,KGSO
GSO,36.1038,-79.9427,Triad International Airport,Greensboro,North Carolina,United States,America/New_York,Airports,10000,926,KGSP
GSP,34.8907,-82.2167,Greenville Spartanburg International Airport,Greer,South Carolina,United States,America/New_York,Airports,7600,972,PAGS
GST,58.4246,-135.707,Gustavus Airport,Gustavus,Alaska,United States,America/Juneau,Airports,6800,36,
GSY,53.4533,-0.2,Binbrook Airport,Market Rasen,England,United Kingdom,Europe/London,Airports,7500,374,
GTA,-8.72906,162.855,Solomon Islands,Gatokae,,Solomon Islands,Pacific/Noumea,Airports,,,KGTE
GTE,-13.9743,136.462,Groote Eylandt Airport,Darwin,Northern Territory,Australia,Australia/Darwin,Airports,6240,52,KGTF
GTF,47.482,-111.356,Great Falls International Airport,Great Falls,Montana,United States,America/Denver,Airports,10502,3674,
GTO,0.6339,122.846,Jalaluddin Airport,Gorontalo,Sulawesi Utara,Indonesia,Asia/Makassar,Airports,5413,60,KGTR
GTR,33.4516,-88.5876,Golden Triangle Regional Airport,Columbus,Mississippi,United States,America/Chicago,Airports,6497,264,
GTS,-31.875,136.081,Australia,Granites,,Australia,Australia/Adelaide,Airports,3615,1106,MGGT
GUA,14.5819,-90.5275,La Aurora Airport,Guatemala City,Guatemala,Guatemala,America/Guatemala,Airports,9793,4952,KGUC
GUC,38.5356,-106.941,Gunnison County Airport,Gunnison,Colorado,United States,America/Denver,Airports,7198,7668,PGUM
GUM,13.4833,144.796,Antonio B Won Pat International Airport,Hagåtña,Guam,United States,Pacific/Guam,Airports,,,
GUR,-10.3108,150.339,Gurney Airport,Alotau,Milne Bay,Papua New Guinea,Pacific/Port_Moresby,Airports,5200,65,
GUW,47.1133,51.8457,Guryev Airport,Atyrau,Atyrau,Kazakhstan,Asia/Aqtobe,Airports,,,LSGG
GVA,46.2329,6.10682,Geneva Airport,Geneva,Canton of Geneva,Switzerland,Europe/Zurich,Airports,12796,1411,
GVR,-18.8958,-41.9856,Governador Valadares Airport,Governador Valadares,Minas Gerais,Brazil,America/Sao_Paulo,Airports,4593,561,
GWD,25.2306,62.3389,Gwadar Airport,Gawadar,Balochistan,Pakistan,Asia/Karachi,Airports,5000,96,
GWL,26.2843,78.2288,Gwalior Airport,Gwalior,Madhya Pradesh,India,Asia/Kolkata,Airports,9000,617,
GWT,54.9139,8.33126,Westerland Airport,Westerland,Schleswig-Holstein,Germany,Europe/Berlin,Airports,6968,51,EICM
GWY,53.3016,-8.94049,Carnmore Airport,Carnmore,,Ireland,Europe/Dublin,Airports,1870,90,
GXF,15.9625,48.7877,Sayun Airport,Seiyun,Hadramawt,Yemen,Asia/Aden,Airports,3850,2100,
GXG,-7.7547,15.2919,Negage Airport,Negage,Uige,Angola,Africa/Luanda,Airports,7874,4105,
GYA,-10.8276,-65.3993,Guayaramerin Airport,Guayaramerín,El Beni,Bolivia,America/La_Paz,Airports,5906,427,UBBB
GYD,40.3781,49.8028,Azerbaijan,Baku,Baki,Azerbaijan,Asia/Baku,Airports,,,SEGU
GYE,-2.1533,-79.8833,Simon Bolivar International Airport,Guayaquil,Guayas,Ecuador,America/Guayaquil,Airports,8005,15,KGYL
GYL,-16.6364,128.449,Argyle Airport,Argyle,Western Australia,Australia,Australia/Perth,Airports,7540,522,MMGM
GYM,27.9689,-110.924,General Jose Maria Yanez in Airport,Guaymas,Sonora,Mexico,America/Hermosillo,Airports,7710,88,
GYN,-16.6294,-49.2261,Santa Genoveva Airport,Goiania,Goias,Brazil,America/Sao_Paulo,Airports,7221,2448,
GZO,-8.0749,156.832,Nusatupe Airport,Gizo,Western,Solomon Islands,Pacific/Noumea,Airports,3202,13,
